86,132,0,269,231,500
49,167,0,348,152,500
60,135,0,275,225,500
36,128,0,240,260,500
34,140,0,267,233,500
90,140,0,288,212,500
45,164,0,166,334,500
41,150,0,303,197,500
75,137,0,282,218,500
45,151,0,299,201,500
52,146,0,209,291,500
76,154,0,316,184,500
49,151,0,206,294,500
29,139,0,279,221,500
38,146,0,216,284,500
75,143,0,212,288,500
46,140,0,277,223,500
48,133,0,270,230,500
41,156,0,181,319,500
46,131,0,270,230,500
37,131,0,234,266,500
60,133,0,255,245,500
46,143,0,293,207,500
58,129,0,235,265,500
60,153,0,191,309,500
55,127,0,251,249,500
43,127,0,249,251,500
47,127,0,242,258,500
47,134,0,233,267,500
48,154,0,313,187,500
54,141,0,211,289,500
36,174,0,141,359,500
40,171,0,345,155,500
62,150,0,200,300,500
45,146,0,215,285,500
39,152,0,307,193,500
57,138,0,229,271,500
55,140,0,226,274,500
33,145,0,199,301,500
43,141,0,214,286,500
28,167,0,336,164,500
61,132,0,264,236,500
87,124,0,256,244,500
60,163,0,337,163,500
57,171,0,348,152,500
55,144,0,211,289,500
55,127,0,251,249,500
82,134,0,236,264,500
55,158,0,174,326,500
52,142,0,216,284,500
37,136,0,274,226,500
41,146,0,295,205,500
69,126,0,254,246,500
85,155,0,188,312,500
35,140,0,270,230,500
51,156,0,320,180,500
71,169,0,340,160,500
43,127,0,250,250,500
43,143,0,210,290,500
36,151,0,197,303,500
56,158,0,191,309,500
74,138,0,274,226,500
70,148,0,297,203,500
45,174,0,344,156,500
49,127,0,245,255,500
48,142,0,208,292,500
68,130,0,251,249,500
59,130,0,260,240,500
44,145,0,209,291,500
79,161,0,168,332,500
58,165,0,164,336,500
80,152,0,308,192,500
38,155,0,311,189,500
39,135,0,230,270,500
65,155,0,314,186,500
77,145,0,286,214,500
51,129,0,264,236,500
67,143,0,294,206,500
57,135,0,219,281,500
27,163,0,330,170,500
57,138,0,281,219,500
51,139,0,224,276,500
45,148,0,203,297,500
83,137,0,222,278,500
55,148,0,207,293,500
38,144,0,279,221,500
47,153,0,189,311,500
57,141,0,209,291,500
41,131,0,232,268,500
80,150,0,313,187,500
47,156,0,189,311,500
61,132,0,272,228,500
46,155,0,312,188,500
67,130,0,259,241,500
126,149,1,302,198,500
36,153,0,314,186,500
52,144,0,208,292,500
99,152,0,206,294,500
39,145,0,203,297,500
54,138,0,285,215,500
74,152,0,196,304,500
41,134,0,237,263,500
46,126,0,243,257,500
66,137,0,223,277,500
49,128,0,251,249,500
29,150,0,298,202,500
60,126,0,253,247,500
63,145,0,289,211,500
86,126,0,238,262,500
38,126,0,245,255,500
56,131,0,231,269,500
66,167,0,341,159,500
52,131,0,234,266,500
41,144,0,292,208,500
53,131,0,235,265,500
47,141,0,276,224,500
24,126,0,248,252,500
67,143,0,288,212,500
49,149,0,197,303,500
45,130,0,232,268,500
41,131,0,260,240,500
101,134,0,274,226,500
57,160,0,329,171,500
56,140,0,273,227,500
43,146,0,291,209,500
63,127,0,259,241,500
41,139,0,272,228,500
62,131,0,265,235,500
53,149,0,194,306,500
103,143,0,284,216,500
56,129,0,242,258,500
67,143,0,203,297,500
53,124,0,250,250,500
46,141,0,288,212,500
48,146,0,197,303,500
63,144,0,288,212,500
69,153,0,194,306,500
47,136,0,234,266,500
40,129,0,237,263,500
61,128,0,249,251,500
60,136,0,216,284,500
53,145,0,296,204,500
51,134,0,233,267,500
77,132,0,272,228,500
47,152,0,198,302,500
73,157,0,309,191,500
39,132,0,233,267,500
54,162,0,331,169,500
71,152,0,311,189,500
47,141,0,280,220,500
100,147,0,206,294,500
73,183,0,373,127,500
29,152,0,196,304,500
51,132,0,228,272,500
35,176,0,135,365,500
39,136,0,277,223,500
76,125,0,249,251,500
107,127,0,250,250,500
69,152,0,301,199,500
60,138,0,271,229,500
44,133,0,261,239,500
94,170,0,161,339,500
50,153,0,311,189,500
79,161,0,180,320,500
63,147,0,293,207,500
45,133,0,268,232,500
46,131,0,255,245,500
47,130,0,244,256,500
32,138,0,276,224,500
43,128,0,236,264,500
53,133,0,279,221,500
88,126,0,256,244,500
39,130,0,253,247,500
72,138,0,231,269,500
59,167,0,348,152,500
57,136,0,223,277,500
